desc,name
desc,name
Belgian author and visionary,Paul Otlet
"British computer scientist, inventor of the World Wide Web",Tim Berners-Lee
American filmmaker,Stanley Kubrick
First President of the United States,George Washington
British author and humorist,Douglas Adams
16th President of the United States,Abraham Lincoln
24th President of the French Republic,François Hollande
"American former professor, co-founder of Wikipedia, founder of Citizendium and other projects",Larry Sanger
American game show contestant and writer,Ken Jennings
former Prime Minister of the United Kingdom,David Cameron
sovereign state and Scandinavian country in northern Europe,Denmark
Wikipedia co-founder and American Internet entrepreneur,Jimmy Wales
,
French classical scholar,Jean-François Champollion
22nd Prime Minister of Canada,Stephen Harper
43rd President of the United States,George W. Bush
44th President of the United States of America,Barack Obama
Austrian composer of the Classical period,Wolfgang Amadeus Mozart
,
,
French writer,Paul Morand
French painter,Claude Monet
American singer and actor,Elvis Presley
"Greek painter, sculptor and architect",El Greco
Spanish painter,Diego Velázquez
35th & 37th President of Chile,Sebastian Piñera
"Italian mathematician, physicist, philosopher and astronomer",Galileo Galilei
34th & 36th President of Chile,Michelle Bachelet
Chilean politician and former President,Eduardo Frei Ruiz-Tagle
German classical and romantic composer,Ludwig van Beethoven
King of France,Louis IX of France
politician from Chile,Ricardo Lagos
Queen of France,Blanche of Castile
"Führer and Reich Chancellor of Germany, Leader of the Nazi Party",Adolf Hitler
23rd President of the French Republic,Nicolas Sarkozy
,
Dutch footballer,Piet Kraak
"Australian editor, activist, publisher and journalist",Julian Assange
dictator of Chile,Augusto Pinochet
Czech association football player,František Plánička
Belarusian poet and writer,Yanka Kupala
"American entrepreneur, webcam model, and pornographic actress",Jenna Jameson
"Jamaican singer, songwriter, musician",Bob Marley
American pornographic actress and anti-porn activist,Linda Lovelace
"American astrophysicist, cosmologist, author and science educator",Carl Sagan
Chilean politician and former President,Patricio Aylwin
"Polish politician, Nobel Peace Prize winner, former President of Poland",Lech Wałęsa
Chilean physician and politician,Salvador Allende
"American singer-songwriter, musician, author, and artist",Bob Dylan
French Enlightenment philosopher and encyclopædist,Denis Diderot
French singer-songwriter and poet,Georges Brassens
German mathematician,Philipp Ludwig von Seidel
American stand-up comedian and television host,Bill Maher
French Decadent and Symbolist poet,Arthur Rimbaud
"1700–1755, German-born French soldier and statesmen","Ulrich Frédéric Woldemar, Comte de Lowendal"
,
president of Chile y un bueno pa la tula,Eduardo Frei Montalva
French poet,Charles Baudelaire
Swedish alpine skier,Ingemar Stenmark
"Soviet singer, songwriter, poet and actor",Vladimir Vysotsky
French writer,Émile Zola
Italian general and politician,Giuseppe Garibaldi
French chemist and microbiologist,Louis Pasteur
American television presenter,Rachel Maddow
"French general, First Consul and later Emperor of the French",Napoleon
"American singer-songwriter, poet and visual artist",Patti Smith
"French poet, novelist, and dramatist",Victor Hugo
French veterinary surgeon (1712-1779),Claude Bourgelat
Chilean politician and President,Jorge Alessandri
French poet and artist,Brigitte Fontaine
French horticulturalist (1719-1786),Pierre Poivre
Chancellor of Germany,Angela Merkel
American journalist,Ezra Klein
Japanese baseball player,Ichiro Suzuki
French fashion designer,Hedi Slimane
Portuguese poet,Luís de Camões
Roman Catholic saint,Kateri Tekakwitha
"American businessman and politician, former mayor of New York City",Michael Bloomberg
Argentine association football player,Lionel Messi
Italian former professional footballer,Alessandro Del Piero
"Renaissance mathematician, Polish astronomer, physician",Nicolaus Copernicus
French journalist and TV host,Frédéric Taddeï
Chilean army officer and political figure,Carlos Ibáñez del Campo
member of the French Resistance during WWII,Jean Moulin
"British recording artist; singer, songwriter, musician and record producer",Kate Bush
Canadian singer-songwriter,Neil Young
"German philosopher, writer and politician",Friedrich Theodor Vischer
French physicist and mathematician,André-Marie Ampère
Italian physicist,Alessandro Volta
last active pharaoh of Ptolemaic Egypt,Cleopatra
French playwright and actor,Molière
American musician,Stevie Wonder
founder and first emperor of the Mongol Empire,Genghis Khan
English playwright and poet,William Shakespeare
French tragedian,Pierre Corneille
,
French dramatist,Jean Racine
French Symbolist poet,Stéphane Mallarmé
"Italian actor, playwright, comedian, singer-songwriter, theater director, painter, and political activist",Dario Fo
French poet,Paul Verlaine
Chilean politician and President,Juan Antonio Rios
Chilean politician,Gabriel Gonzáles Videla
"American actress, dancer, glamour model and Web personality",Coco Austin
medieval Russian artist,Andrei Rublev
Italian Renaissance polymath,Leonardo da Vinci
Gibraltarian rhythmic gymnast,Georgina Cassar
state of the United States of America,Utah
Russian author,Mikhail Bulgakov
Chilean politician and President,Arturo Alessandri
"Soviet and Russian film-maker, writer, film editor, film theorist, theatre and opera director",Andrei Tarkovsky
Chilean politician and President,Juan Luis Sanfuentes
Chilean politician and President,Pedro Aguirre Cerda
French poet and criminal,François Villon
Russian-American poet,Joseph Brodsky
General secretary of the Communist Party of the Soviet Union,Joseph Stalin
Polish politician and Prime Minister,Józef Piłsudski
Classical Greek philosopher,Plato
"Classical Greek philosopher, student of Plato and founder of Western philosophy",Aristotle
"British philologist and author, creator of classic fantasy works",J. R. R. Tolkien
British comic actor and filmmaker,Charlie Chaplin
American actress,Meryl Streep
classical Greek Athenian philosopher,Socrates
Dutch writer and translator,J. Bernlef
"Norwegian polar researcher, who was the first to reach the South Pole",Roald Amundsen
"Argentine short-story writer, essayist, poet and translator",Jorge Luis Borges
British physicist and mathematician and founder of modern classical physics,Isaac Newton
"Russian architect, one of the founders of constructivism",Konstantin Melnikov
Dutch author,Harry Mulisch
German-speaking Bohemian Jewish novelist and short story writer,Franz Kafka
Australian writer and feminist,Miles Franklin
Emperor of Brazil and later King of Portugal,Pedro I
German-born physicist and founder of the theory of relativity,Albert Einstein
Soviet nuclear physicist and human rights activist,Andrei Sakharov
"264th Pope of the Catholic Church, saint",John Paul II
Swiss musician and music producer,Roman Camenzind
"Polish politician, current President of the European Council",Donald Tusk
Russian author,Fyodor Dostoyevsky
American physicist and engineer,John Bardeen
pre-eminent leader of Indian nationalism during British-ruled India,Mahatma Gandhi
"British naturalist, author of ""On the origin of species, by means of natural selection""",Charles Darwin
Slovenian biologist,Ivan Regen
"Indian lawyer, statesman, and writer, first Prime Minister of India",Jawaharlal Nehru
Italian Marshal of the Air Force and minister,Italo Balbo
Indian politician,Narendra Modi
"Swedish botanist, physician, and zoologist",Carl Linnaeus
"Slovene national poet, a Carniolan Romantic poet of Slovene descent",France Prešeren
Roman politician and general,Julius Caesar
Italian poet and novelist,Alessandro Manzoni
Italian poet,Dante Alighieri
,
French Baroque composer and music theorist,Jean-Philippe Rameau
"American lawyer, politician and 42nd President of the United States",Bill Clinton
Indian Prime Minister,Indira Gandhi
French composer,Maurice Ravel
British house music DJ,Julio Bashmore
Italian-born French composer,Jean-Baptiste Lully
French Romantic composer,Hector Berlioz
German painter,Hubert Salentin
"English singer and songwriter, founding member of The Beatles",John Lennon
11th President of Italy,Giorgio Napolitano
American singer and songwriter,Bruce Springsteen
10th President of Italy,Carlo Azeglio Ciampi
9th President of Italy,Oscar Luigi Scalfaro
7th President of Italy,Sandro Pertini
8th President of Italy,Francesco Cossiga
6th President of Italy,Giovanni Leone
Jamaican sprinter and soccer player,Usain Bolt
5th President of Italy,Giuseppe Saragat
4th President of Italy,Antonio Segni
1st President of Italy,Enrico de Nicola
2nd President of Italy,Luigi Einaudi
8th Secretary-General of the United Nations,Ban Ki-moon
6th Secretary-General of the United Nations,Boutros Boutros-Ghali
3rd President of Italy,Giovanni Gronchi
5th Secretary-General of the United Nations,Javier Pérez de Cuéllar
7th Secretary-General of the United Nations,Kofi Annan
"4th Secretary-General of the United Nations, President of Austria",Kurt Waldheim
1st Secretary-General of the United Nations,Trygve Lie
acting Secretary-General of the United Nations,Gladwyn Jebb
3rd Secretary-General of the United Nations,U Thant
"Swedish diplomat, economist, and author",Dag Hammarskjöld
Chilean politician and President,Ramón Barros Luco
Polish composer and pianist,Frédéric Chopin
"French mathematician, physicist, inventor, writer, and Christian philosopher",Blaise Pascal
Chilean politician and President,Germán Riesco
Iraqi politician and President,Saddam Hussein
Chilean politician and Vice President,Aníbal Zañartu
Chilean politician and President,Federico Errázuriz Echaurren
Chilean politician and President,José Manuel Balmaceda
Saudi Arabian founder of al-Qaeda,Osama bin Laden
Chilean politician and President,Domingo Santa María
"Chilean sailor, politician and President",Jorge Montt
Canadian poet and singer-songwriter,Leonard Cohen
Chilean politician and President,Aníbal Pinto
Chilean politician,Federico Errázuriz Zañartu
Chilean politician and President,José Joaquín Pérez
Chilean politician and President,Manuel Montt
Chilean politician and President,Pedro Montt
Chilean politician and President,Manuel Bulnes
"Militar, Chilean politician and President",José Joaquín Prieto
Chilean politician and President,Manuel Blanco Encalada
Chilean politician,Ramón Freire
Chilean politician and President,Francisco Antonio Pinto
Austrian and British economist,Friedrich Hayek
Italian composer,Antonio Vivaldi
Italian comics author,Leo Ortolani
Ancient Roman poet,Virgil
German composer and musician of the Baroque era,Johann Sebastian Bach
"Italian politician, writer and author",Niccolò Machiavelli
"Russian politician, communist theorist and first leader of Soviet Russia",Vladimir Lenin
Italian author and poet,Giovanni Boccaccio
American game designer,Dave Arneson
founder of Julio-Claudian dynasty and first emperor of the Roman Empire,Augustus
"2nd Emperor of Ancient Rome, member of the Julio-Claudian dynasty",Tiberius
"4th Emperor of Ancient Rome, member of the Julio-Claudian dynasty",Claudius
"3rd Emperor of Ancient Rome, a member of the Julio-Claudian dynasty",Caligula
Italian scholar and poet,Petrarch
"Emperor of Ancient Rome, 5th and last of the Julio-Claudian dynasty",Nero
Roman emperor,Servius Sulpicius Galba Caesar
Emperor of Ancient Rome,Otho
Emperor of Ancient Rome,Vitellius
Emperor of Ancient Rome,Titus
Emperor of Ancient Rome,Nerva
Emperor of Ancient Rome,Trajan
"Emperor of Ancient Rome, founder of the Flavian dynasty",Vespasian
Emperor of Ancient Rome,Domitian
Swiss tennis player,Roger Federer
Emperor of Ancient Rome,Hadrian
Emperor of Ancient Rome,Antoninus Pius
Emperor of Ancient Rome,Marcus Aurelius Antoninus
Emperor of Ancient Rome,Lucius Verus
Emperor of Ancient Rome,Commodus
"Italian dramatist, novelist, short story writer, and poet, Nobel Prize for Literature laureate",Luigi Pirandello
Emperor of Ancient Rome,Didius Julianus
Emperor of Ancient Rome,Caracalla
Romanian singer-songwriter,Alexandra Stan
Emperor of Ancient Rome,Septimius Severus
former President of the Philippines from 1965 to 1986,Ferdinand Marcos
American singer-songwriter,Bruno Mars
Emperor of Ancient Rome,Pertinax
French author and journalist,Robert Brasillach
Philippine politician and President,Corazon Aquino
"Filipino writer, ophthalmologist, polyglot and nationalist",José Rizal
president of the Philippines from 1935 to 1944,Manuel L. Quezon
15th President of the Philippines (2010-2016),Benigno Aquino III
"Scottish novelist, poet, essayist, and travel writer",Robert Louis Stevenson
American singer and songwriter,Janis Joplin
Portuguese explorer,Ferdinand Magellan
the founding Pharaoh of Ancient Egypt's Nineteenth Dynasty,Ramesses I
Dutch graphic artist,M. C. Escher
"German composer, conductor",Richard Wagner
the third pharaoh of the Twentieth Dynasty of the New Kingdom of Ancient Egypt,Ramesses IV
German physicist and mathematician,Georg Simon Ohm
French architect,Tony Garnier
Egyptian pharaoh of the Nineteenth Dynasty of Egypt,Ramesses II
"Italian physician, physicist, and philosopher",Luigi Galvani
"American singer, songwriter, actress and activist",Cyndi Lauper
Roman philosopher and statesman,Cicero
egyptian pharaoh,Ramesses III
American astronaut; first person to walk on the moon,Neil Armstrong
"American aviator, author, inventor, explorer, and social activist",Charles Lindbergh
"English athlete, sports official, and Conservative Party politician","David Cecil, 6th Marquess of Exeter"
Swedish industrialist and International Olympic Committee official,Sigfrid Edström
Dutch athlete and president of the IAAF,Adriaan Paulen
Chairman of the Board of the National Water Company of Senegal,Lamine Diack
Jamaican sprinter,Yohan Blake
American sprinter,Justin Gatlin
baseball player from the United States,Tim Lincecum
French writer,Françoise Sagan
Jamaican sprinter,Warren Weir
French singer,Édith Piaf
Italian sports official and IAAF president,Primo Nebiolo
Grenadian sprinter,Kirani James
Dominican sprinter,Luguelín Santos
Kenyan middle distance runner,David Rudisha
Kenyan middle distance runner,Timothy Kitum
Algerian track and field athlete,Taoufik Makhloufi
Botswanan middle distance runner,Nijel Amos
Mexican-American middle-distance track and field athlete,Leonel Manzano
Moroccan runner,Abdalaati Iguider
track and field sprinter from Trinidad and Tobago,Lalonde Gordon
British track and field athlete,Mo Farah
Ethiopian long-distance runner,Dejen Gebremeskel
Ethiopian long-distance runner,Tariku Bekele
French track and field athlete,Mahiedine Mekhissi-Benabbad
Kenyan runner,Ezekiel Kemboi
Kenyan long-distance runner,Abel Mutai
American track and field athlete,Aries Merritt
Jamaican track and field athlete,Hansle Parchment
Dominican track and field athlete,Félix Sánchez
Puerto Rican hurdler,Javier Culson
Ugandan long-distance runner,Stephen Kiprotich
Belgian singer-songwriter,Jacques Brel
French musician and actor,Serge Gainsbourg
Kenyan long-distance runner,Abel Kirui
American professional basketball player,Jason Richardson
Kenyan long distance runner,Wilson Kipsang Kiprotich
Jamaican sprinter,Nesta Carter
Russian race walker,Sergey Kirdyapkin
Australian race walker,Jared Tallent
Russian high jumper,Ivan Ukhov
racewalker,Chen Ding
American high jumper,Erik Kynard
Qatari track and field athlete,Mutaz Essa Barshim
British high jumper,Robert Grabarz
"French singer, songwriter and actor",Renaud Séchan
French pole vaulter,Renaud Lavillenie
British long jumper and sprinter,Greg Rutherford
Guatemalan racewalker,Erick Barrondo
German pole vaulter,Björn Otto
Australian track and field athlete,Mitchell Watt
"American singer, songwriter, and actress",Madonna
Italian triple jumper and long jumper,Fabrizio Donato
Roman Emperor,Macrinus
American track and field athlete,Will Claye
American track and field athlete,Christian Taylor
American shot putter,Reese Hoffa
Roman Emperor,Elagabalus
German discus thrower,Robert Harting
German shot putter,David Storl
Iranian discus thrower,Ehsan Hadadi
Estonian discus thrower,Gerd Kanter
American jazz singer,Ella Fitzgerald
Roman Emperor,Alexander Severus
Polish shot putter,Tomasz Majewski
Roman Emperor,Gordian I
Roman Emperor,Maximinus Thrax
Hungarian hammer thrower,Krisztián Pars
Slovenian hammer thrower,Primož Kozmus
American medical cannabis activist,Brownie Mary
Burgundian jurist and politician,Jan I Carondelet
American decathlete,Ashton Eaton
Trinidadian javelin thrower,Keshorn Walcott
chancellor of Flanders and Burgundy,Claude I Carondelet
Japanese hammer thrower,Koji Murofushi
"Burgundian cleric, politician, jurist, and advisor to Charles V, Holy Roman Emperor",Jan II Carondelet
English pop singer,Kim Wilde
American track and field athlete,Trey Hardee
"American jazz trumpeter, composer and singer",Louis Armstrong
Cuban decathlete,Leonel Suárez
"Habsburg diplomat, advisor, and abbot",Ferry Carondelet
Roman Emperor in 238 AD,Gordian II
Roman Emperor,Pupienus
French singer,Barbara
Roman Emperor,Balbinus
Roman emperor,Gordian III
Roman Emperor,Decius
French singer-songwriter,Daniel Balavoine
Roman Emperor,Philip the Arab
Dutch association football player,Jürgen Locadia
French association football player and manager,Laurent Blanc
"German author, philosopher, and public relations manager",Michael Schmidt-Salomon
French association football player and manager,Sabri Lamouchi
French association football player and manager,Corentin Martins
Dutch footballer,Memphis Depay
French association football player,Hugo Lloris
French association football player and manager,Zinedine Zidane
French association football player,Olivier Giroud
French association football player,Florent Malouda
French association football player,Adil Rami
French association football player,Yohan Cabaye
French association football player,Mathieu Debuchy
French association football player,Laurent Koscielny
French association football player,Karim Benzema
French association football player,Philippe Mexès
French association football player,Franck Ribéry
French association football player,Patrice Evra
Armenian-French singer and diplomat,Charles Aznavour
French association football player,Mathieu Valbuena
French association football player,Samir Nasri
French association football player,Blaise Matuidi
French association football player,Anthony Réveillère
French association football player,Jérémy Ménez
French association football player,Steve Mandanda
French association football player,Yann M'Vila
French association football player,Marvin Martin
French association football player,Gaël Clichy
Swedish female alpine skier,Anja Pärson
French association football player,Hatem Ben Arfa
French association football player,Sidney Govou
French association football player,Djibril Cissé
French association football player,Cédric Carrasso
French association football player,William Gallas
French association football player,Eric Abidal
French association football player,Alou Diarra
Austrian alpine ski racer,Benjamin Raich
French association football player,Jérémy Toulalan
French association football player,Sébastien Squillaci
French association football player,André-Pierre Gignac
French association football player,Nicolas Anelka
French association football player,Abou Diaby
Italian alpine ski racer,Gustav Thöni
Austrian alpine skier,Hermann Maier
Swiss alpine ski racer,Vreni Schneider
,
French association football player,Bacary Sagna
Swiss alpine ski racer,Erika Hess
Swiss alpine skier,Maria Walliser
Japanese manga artist,Masashi Kishimoto
"Italian poet, novelist, literary critic, and translator",Cesare Pavese
Luxembourgian-Swiss alpine ski racer,Marc Girardelli
Swiss alpine skier,Michela Figini
Italian alpine ski racer,Alberto Tomba
Japanese manga artist,Eiichiro Oda
Italian Alpine skier,Deborah Compagnoni
Italian racecar driver,Giuseppe Farina
Austrian alpine ski racer,Marcel Hirscher
21st President of the French Republic,François Mitterrand
"American filmmaker, television director, visual artist, musician and occasional actor",David Lynch
Italian racing driver,Alberto Ascari
"Roman Stoic philosopher, statesman, and dramatist",Seneca
eighteenth President of the French Republic,Charles de Gaulle
Norwegian alpine ski racer and TV host,Kjetil André Aamodt
Latin poet from Hispania,Martial
British racecar driver,Mike Hawthorn
Argentinian racing driver,Juan Manuel Fangio
"German musician and poet; * 1854, † 1923",Hans Schmidt
Indian social entrepreneur,Giridharilal Kedia
22nd President of France,Jacques Chirac
Roman historian,Titus Livius
American alpine ski racer,Bode Miller
Australian racing driver,Jack Brabham
President of France,Valéry Giscard d'Estaing
American cyclist,Lance Armstrong
President of France,Georges Pompidou
French comedian and actor,Coluche
French humorist,Pierre Desproges
Roman senator and historian,Tacitus
only biological child of Augustus,Julia the Elder
Roman general in the Second Punic War,Scipio Africanus
American astronaut,Buzz Aldrin
American actor and producer,Tom Hanks
Indian nationalist leader and politician,Subhas Chandra Bose
Danish motorcycle speedway rider,Nicki Pedersen
Russian motorcycle speedway rider,Emil Sayfutdinov
chemical compound,benzene
Dutch footballer,Robin van Persie
general and politician of the ancient Roman Republic,Scipio Aemilianus
"American jazz trumpeter, flugelhornist and singer",Chet Baker
"Italian comedian, actor, and musician",Totò
Chancellor of West Germany 1974-1982,Helmut Schmidt
German politician,Ludwig Erhard
Chancellor of West Germany,Kurt Georg Kiesinger
265th Pope of the Catholic Church,Benedict XVI
former chancellor of West Germany (1982-1990) and then the united Germany (1990-1998),Helmut Kohl
Scottish comic book writer,Mark Millar
President of Germany from 2010 to 2012,Christian Wulff
German politician,Joachim Gauck
"German politician (CDU); president of Germany, 2004-2010",Horst Köhler
German politician (SPD),Gerhard Schröder
German social-democratic politician; Chancellor of the Federal Republic of Germany,Willy Brandt
American comic book artist,John Romita Jr.
President of the Federal Republic of Germany,Karl Carstens
President of Germany (1974-1979),Walter Scheel
Governing Mayor of West Berlin and President of the Federal Republic of Germany,Richard von Weizsäcker
former President of the Federal Republic of Germany,Roman Herzog
"English film producer, director and screenwriter",Matthew Vaughn
American actress,Johanna Braddy
President of Germany from 1 July 1999 until 30 June 2004,Johannes Rau
"German politician, President of Germany 1969-1974",Gustav Heinemann
German politician,Heinrich Lübke
"German statesman, Federal Chancellor of Germany, politician (CDU)",Konrad Adenauer
German jurist and politician,Manfred Gerlach
"English singer-songwriter and composer, bassist of The Beatles",Paul McCartney
former General Secretary of the Socialist Unity Party of East Germany,Egon Krenz
East German politician,Willi Stoph
260th Pope of the Catholic Church,Pius XII
German communist politician,Erich Honecker
German politician,Theodor Heuss
"British musician, drummer of the Beatles",Ringo Starr
"British army officer and administrator, Lieutenant Governor of Upper Canada",Isaac Brock
German politician,Walter Ulbricht
"British musician, lead guitarist of the Beatles",George Harrison
"Prussian-German field marshal, statesman, and president of Germany",Paul von Hindenburg
British Royal Navy officer and Arctic explorer,John Franklin
"American martial artist, actor, film producer and screenwriter",Chuck Norris
"German politician, president of Germany",Friedrich Ebert
German Emperor and King of Prussia,Wilhelm II
website entrepreneur and fetish model,Norma Stitz
"American actor, producer, and musician",Bruce Willis
"American actress, model, musician and writer",Sasha Grey
"Austrian-American actor, businessman, bodybuilder and politician",Arnold Schwarzenegger
"French actor, comedian and singer",Bourvil
French actor and comedian,Louis de Funès
"American pioneer, soldier and politician",Daniel Morgan
"Polish politician, president of Poland",Lech Kaczyński
leader of the Bedonkohe Apache,Geronimo
,
President of Belarus since 20 July 1994,Alexander Lukashenko
English statesman,"Sir John Barrow, 1st Baronet"
pioneering English aviator,Amy Johnson
"Czech humorist, satirist, writer and anarchist",Jaroslav Hašek
"politician from Virginia, USA",Willoughby Newton
"English rock singer-songwriter, composer and pianist",Elton John
French writer and aviator,Antoine de Saint-Exupery
"English musician, multi-instrumentalist",Mike Oldfield
American conductor,Mack Wilberg
"American singer, songwriter and dancer",Michael Jackson
French author and poet,Charles Maurras
"King of the Franks, King of Italy, and Holy Roman Emperor",Charlemagne
